Station;SampleSiteID;SampleDate;Station depth (m);Temperature (ºC);q_Temperature;Salinity (psu);q_Salinity;ChlA (μg/l);q_ChlA;Seccidepth (m)
B8;12;1979-10-14 10:00:00;;;0;;0;;0;5,0
B8;13;1979-11-14 09:30:00;;;0;;0;;0;2,5
B8;13;1979-11-14 09:30:00;;;0;;0;;0;2,5
B8;13;1979-11-14 09:30:00;;;0;;0;;0;2,5
B8;13;1979-11-14 09:30:00;;;0;;0;;0;2,5
B8;13;1979-11-14 09:30:00;;;0;;0;;0;2,5
B8;13;1979-11-14 09:30:00;;;0;;0;;0;2,5
B8;13;1979-11-14 09:30:00;;;0;;0;;0;2,5
B8;13;1979-11-14 09:30:00;;;0;;0;;0;2,5
B8;13;1979-11-14 09:30:00;;;0;;0;;0;2,5
B8;13;1979-11-14 09:30:00;;;0;;0;;0;2,5
B8;14;1980-02-28 00:00:00;;;0;;0;;0;
B8;14;1980-02-28 00:00:00;;;0;;0;;0;
B8;14;1980-02-28 00:00:00;;;0;;0;;0;
B8;14;1980-02-28 00:00:00;;;0;;0;;0;
B8;14;1980-02-28 00:00:00;;;0;;0;;0;
B8;14;1980-02-28 00:00:00;;;0;;0;;0;
B8;14;1980-02-28 00:00:00;;;0;;0;;0;
B8;14;1980-02-28 00:00:00;;;0;;0;;0;
B8;14;1980-02-28 00:00:00;;;0;;0;;0;
B8;14;1980-02-28 00:00:00;;;0;;0;;0;
B8;14;1980-02-28 00:00:00;;;0;;0;;0;
B8;15;1980-03-18 00:00:00;;;0;;0;;0;
B8;15;1980-03-18 00:00:00;;;0;;0;;0;
B8;15;1980-03-18 00:00:00;;;0;;0;;0;
B8;15;1980-03-18 00:00:00;;;0;;0;;0;
B8;15;1980-03-18 00:00:00;;;0;;0;;0;
B8;15;1980-03-18 00:00:00;;;0;;0;;0;
B8;15;1980-03-18 00:00:00;;;0;;0;;0;
B8;15;1980-03-18 00:00:00;;;0;;0;;0;
B8;15;1980-03-18 00:00:00;;;0;;0;;0;
B8;15;1980-03-18 00:00:00;;;0;;0;;0;
B8;15;1980-03-18 00:00:00;;;0;;0;;0;
B8;16;1980-03-26 10:00:00;;;0;;0;;0;
B8;16;1980-03-26 10:00:00;;;0;;0;;0;
B8;16;1980-03-26 10:00:00;;;0;;0;;0;
B8;16;1980-03-26 10:00:00;;;0;;0;;0;
B8;16;1980-03-26 10:00:00;;;0;;0;;0;
